wavelength_nm,a_star_m2_per_mg,segment,source,decision,scientific_status
935,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
936,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
937,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
938,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
939,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
940,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
941,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
942,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
943,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
944,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
945,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
946,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
947,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
948,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
949,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
950,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
951,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
952,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
953,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
954,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
955,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
956,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
957,0,approved_zero_extension,,OCRT project decision: a_star=0 for wavelength>850 nm,project-approved closure; not source measurement
