family,path,sha256_16,n_angle_decl,wl_min_um,wl_max_um,teta_n_wl
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f05v01.mie,c4960e784c8a2e3c,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f10v01.mie,13eaacd6c0558ad3,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f20v01.mie,4c4d45224bf74e9e,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f30v01.mie,42559a1ada96c18e,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f50v01.mie,598b6d378b6be6ce,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f80v01.mie,dc940cd5622f8b29,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r85f95v01.mie,e7d5748552efcbdd,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f00v01.mie,48992b6578493a62,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f01v01.mie,d1f22a1883499965,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f02v01.mie,be328a5f7ffda380,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f05v01.mie,d9cfb01b38f6368c,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f10v01.mie,6853eb2cecb56786,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f20v01.mie,73a424f5ce5b6232,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f30v01.mie,c18724ce08ae0557,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f50v01.mie,4b1e7c14ea8025e3,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f80v01.mie,f6b1b7941bdb041e,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r90f95v01.mie,31be5244e1a47ad6,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f00v01.mie,53f059fb100f7e95,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f01v01.mie,31248274d829e69a,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f02v01.mie,d62f8e87c7f3de46,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f05v01.mie,e7957064ddfdeda7,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f10v01.mie,af69fbc96929b2a4,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f20v01.mie,07ef240a1cf7eebf,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f30v01.mie,e588abb15d840c41,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f50v01.mie,a169f995a86a5432,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f80v01.mie,4f42466d720057d1,631,0.33,1.95,22
ahmad_accurt,inputs/aerosol_ahmad2010_accurt_mie/r95f95v01.mie,eda61cd6cb02a886,631,0.33,1.95,22
ahn_mineral,inputs/tsm_ahn/Brown_earth_AHN.mie,b5d75f7eaa0e6131,631,0.33,1.1,16
ahn_mineral,inputs/tsm_ahn/Calcareous_sand_AHN.mie,24b974a2658e7cf8,631,0.33,1.1,16
ahn_mineral,inputs/tsm_ahn/Red_clay_AHN.mie,fb2b36be02472a37,631,0.33,1.1,16
ahn_mineral,inputs/tsm_ahn/Yellow_clay_AHN.mie,ffe73786686deee4,631,0.33,1.1,16
detritus,inputs/water_iop/Detritus_Stramski2001.mie,0202c29d7a3f050d,361,0.35,0.85,9
eap_phyto,inputs/water_iop/eap/EAP_00_Diatoms_pennate_D6.mie,7f6f82ced27a136b,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_01_Chlorophytes_D8.mie,ad80ba08421558e7,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_02_Diatoms_centric_D6.mie,3090ccc870f6d4ca,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_03_Cryptophytes_D6.mie,2399b3347fedad34,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_04_Cyano_blue_D6.mie,fd6f9cc6eb87310e,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_05_Cyano_red_D6.mie,2596fdb88be94f7c,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_06_Dinoflagellates_D24.mie,826b0d0c17d45d81,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_07_Eustigmatophytes_D6.mie,e7de9d5a4a42c18e,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_08_Hapto_Pavlovaceae_D6.mie,596bd686e748c7ae,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_09_Pelagophytes_D3.mie,cb8c210c979002b6,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_10_Prasinophytes_D3.mie,6fe6ec9b3b7dd599,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_11_Prochlorococcus_D0p5.mie,1bd0a027cd97ef73,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_12_Hapto_Prymnesiaceae_D4.mie,41f97d9ff1c57c42,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_13_Raphidophytes_D24.mie,d120beb020f95db4,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_14_Rhodophytes_D6.mie,feecfedb0f4898d2,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_15_Synechococcus_D1p2.mie,584cc593aebd9b40,631,0.35,0.85,12
eap_phyto,inputs/water_iop/eap/EAP_16_Microcystis_D5.mie,5d1775bfb816ec0e,631,0.35,0.85,12
